@relation training_data_stats

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
0,46,50,2,0,0,0,97,0,0,1,96,36,1,21,39,19,2,47,30,22,1,44,31,20,1,44,33,19,2,44,33,19,1,45,32,21,2,45,29,21,3,43,30,RRBS
24,31,18,24,26,32,20,19,25,34,19,20,26,32,18,22,32,16,39,10,50,20,18,10,31,39,18,10,48,23,17,10,27,39,18,14,27,19,42,11,31,25,25,17,9N_sc
26,30,19,23,28,31,20,19,27,33,19,19,28,31,18,20,36,17,35,10,48,20,20,10,35,32,20,10,47,22,19,10,31,33,21,13,31,19,39,10,34,23,27,14,9N_sc
18,29,18,33,21,30,20,27,20,32,20,27,21,29,19,29,30,15,39,14,45,19,19,15,29,34,19,15,43,22,19,14,24,34,20,20,25,18,39,16,29,21,25,23,6N_sc
22,26,13,37,25,29,15,29,21,30,13,34,19,29,11,39,35,14,36,13,43,18,23,14,32,28,22,15,41,21,22,15,28,28,25,17,29,17,39,13,30,20,29,19,scNOME
0,47,50,0,0,0,0,98,0,0,0,98,26,1,32,38,19,2,45,31,22,1,42,32,21,1,44,32,19,2,44,33,19,1,46,31,22,2,45,27,22,4,40,31,RRBS
25,20,27,25,27,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
22,28,19,29,24,29,20,25,23,31,19,25,25,28,19,26,35,15,35,13,45,19,21,14,33,29,22,14,44,21,20,13,29,29,22,17,30,17,37,14,32,20,27,18,6N_sc
40,23,26,8,42,22,29,5,44,24,26,4,45,20,28,4,40,30,25,3,34,33,28,3,52,19,25,3,51,18,26,3,51,18,27,3,47,20,29,2,46,20,30,2,9N_PBAT
2,76,17,1,2,1,2,92,2,2,2,92,20,3,28,47,16,3,54,24,29,3,44,22,23,3,37,35,19,6,42,31,30,3,38,27,32,3,43,20,21,3,51,23,RRBS
3,72,21,2,3,2,3,90,3,2,3,91,20,3,30,45,16,4,52,25,26,3,45,22,23,3,37,34,18,7,41,31,27,3,39,27,30,3,42,21,21,3,48,24,RRBS
3,75,17,2,3,2,3,90,3,2,3,89,19,4,31,45,17,4,53,25,29,4,44,21,25,3,36,33,19,7,41,31,32,3,37,26,33,3,42,20,22,3,49,24,RRBS
26,30,18,24,29,32,19,19,27,34,20,18,29,31,17,21,37,18,32,10,47,20,20,10,35,32,20,11,46,24,18,10,32,32,21,13,32,21,34,11,35,24,25,14,9N_sc
16,34,17,31,17,31,23,26,19,34,18,26,18,32,18,31,24,15,46,13,49,25,9,14,21,49,10,18,47,30,9,13,11,49,14,24,15,17,49,16,22,27,20,29,6N_sc
27,43,8,19,31,49,10,8,28,48,9,13,30,44,9,14,50,25,21,1,51,24,21,1,53,24,20,1,50,26,22,1,49,25,22,1,48,25,23,2,46,26,24,2,6N_PBAT
24,30,17,26,25,32,20,21,23,34,19,21,25,32,17,25,29,16,42,11,51,21,15,11,28,43,15,12,49,24,13,11,23,43,16,16,24,19,43,12,29,26,23,20,9N_sc
18,0,38,42,33,0,27,38,21,0,39,38,20,0,47,32,23,0,42,34,26,0,50,22,19,0,42,38,41,0,39,18,26,0,42,31,25,0,52,21,16,1,61,21,Amplicon
43,1,37,17,38,0,41,19,33,0,40,24,34,0,41,22,33,2,42,22,32,1,44,20,31,1,45,20,31,1,46,20,30,1,47,20,31,1,47,20,30,1,48,19,Swift
22,27,13,36,25,30,15,29,22,31,13,33,19,30,11,38,36,15,35,13,43,19,22,14,33,29,21,15,41,22,21,14,29,28,24,17,30,17,38,13,30,21,29,18,scNOME
15,0,30,53,33,0,27,38,29,0,36,33,31,0,35,32,30,0,37,31,27,0,49,22,19,0,38,42,40,0,36,23,28,0,35,36,21,0,45,32,15,0,66,17,Amplicon
40,24,26,8,42,22,29,5,44,25,25,4,46,20,28,4,40,30,24,3,34,33,27,4,51,19,25,3,51,18,26,3,50,19,27,2,46,21,29,2,45,21,30,2,9N_PBAT
4,70,21,3,5,3,4,86,4,3,4,86,20,4,31,43,18,5,50,24,27,4,44,22,24,4,37,32,20,6,40,30,28,4,39,26,29,4,43,21,22,4,47,24,RRBS
37,1,44,17,38,1,40,19,37,0,41,20,36,0,42,20,37,0,41,19,36,0,42,19,36,0,42,19,36,0,42,20,37,0,42,19,36,0,42,20,36,0,42,20,WGBS
24,31,18,25,26,32,20,19,24,34,19,20,26,32,17,23,32,16,39,11,49,20,17,11,31,39,17,11,48,23,16,11,26,39,18,16,27,18,41,12,31,25,24,18,9N_sc
25,20,27,26,27,19,26,26,29,20,24,25,34,17,22,25,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,56,19,22,4,55,17,UMI_RRBS
19,31,19,29,21,30,22,25,22,32,19,25,22,30,19,27,31,15,38,13,45,22,17,14,29,35,18,16,43,25,17,13,22,35,21,20,24,17,42,15,28,22,25,22,6N_sc
21,31,17,29,22,32,21,22,20,36,19,23,20,33,17,28,24,15,48,11,53,21,12,12,24,51,12,12,51,25,10,12,16,50,12,20,18,18,47,15,25,27,20,26,9N_sc
17,0,29,52,35,0,26,38,32,0,34,32,31,0,39,29,28,0,38,33,28,0,47,24,19,0,37,43,41,0,38,20,28,0,37,34,23,0,45,30,19,1,51,28,Amplicon
28,42,8,19,32,48,10,8,29,47,9,13,31,44,9,14,52,24,21,1,52,23,22,1,53,23,21,1,51,24,22,1,50,25,22,1,49,24,23,1,47,25,25,1,6N_PBAT
23,29,23,22,26,31,23,18,24,32,23,19,28,28,20,22,37,16,34,11,47,18,22,11,37,29,21,11,46,21,21,11,33,29,22,13,33,18,36,12,34,22,28,14,scNOME
23,30,22,23,25,30,22,21,24,35,22,18,27,28,19,24,37,16,32,13,45,18,21,13,38,26,21,14,44,20,21,13,37,27,22,13,33,18,33,14,34,20,30,14,scNOME
2,77,18,1,2,1,2,93,1,1,1,95,20,2,33,43,17,3,52,26,29,2,45,22,26,2,37,33,19,6,42,31,31,2,37,28,33,2,43,20,22,2,48,25,RRBS
24,29,23,22,26,31,23,18,24,32,23,19,28,28,20,22,37,16,35,10,48,18,22,10,37,29,21,11,46,20,21,10,33,29,23,13,33,18,36,11,35,21,28,14,scNOME
22,27,14,36,26,29,14,29,21,30,13,33,18,30,11,39,36,15,34,13,42,19,21,15,31,30,20,17,39,23,20,16,26,29,25,17,29,17,38,14,29,22,29,19,scNOME
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,3,54,18,UMI_RRBS
41,1,39,17,37,0,41,20,33,0,41,24,33,0,42,22,33,1,42,21,33,1,44,20,32,1,45,20,32,1,45,20,31,1,46,20,31,0,46,20,31,1,47,19,Swift
25,29,23,20,27,30,22,18,25,33,22,18,29,28,19,22,41,17,30,11,45,18,24,11,41,22,24,11,44,19,24,10,40,22,25,11,37,18,31,12,37,20,30,11,scNOME
19,29,18,32,20,29,20,28,20,32,19,28,21,29,18,30,26,16,41,16,46,21,14,18,24,41,15,18,44,25,15,15,18,41,17,22,22,18,40,18,26,25,21,26,6N_sc
30,6,41,22,31,4,40,23,31,4,41,23,30,4,40,24,31,3,42,23,30,3,42,23,31,3,41,23,30,3,41,23,30,3,42,23,30,3,42,22,30,3,42,23,NOMEseq
2,75,20,1,2,1,2,93,2,1,2,93,20,3,29,46,17,3,54,24,28,2,45,22,23,2,39,33,19,4,43,31,29,2,39,27,30,2,45,20,21,2,51,23,RRBS
20,30,19,29,22,29,21,25,24,31,19,24,23,30,19,26,32,16,36,13,44,21,19,14,31,33,20,15,43,24,19,12,25,34,22,17,27,18,40,13,30,23,26,19,6N_sc
23,31,18,27,24,31,21,21,23,34,19,22,23,32,18,25,27,16,44,11,50,21,15,11,26,45,15,12,49,25,13,11,20,45,16,17,21,18,46,12,27,27,24,20,9N_sc
15,0,40,43,33,0,35,31,30,0,41,27,11,0,56,32,32,0,37,30,20,0,52,26,33,0,30,35,41,0,36,22,26,0,46,26,37,0,49,12,22,0,59,17,Amplicon
33,1,48,16,34,0,44,20,33,0,45,20,32,1,46,20,33,0,45,20,32,0,46,19,32,0,45,20,32,0,46,20,33,0,45,20,32,1,46,20,32,0,46,20,WGBS
22,31,18,28,23,32,21,22,22,34,19,23,22,32,17,27,25,15,45,13,51,21,13,14,24,47,13,14,49,25,12,13,17,47,14,19,20,18,45,15,26,28,21,23,9N_sc
21,26,20,31,23,27,20,28,22,31,20,26,24,26,20,28,35,15,33,16,41,17,24,15,34,24,25,16,40,19,24,15,33,24,25,16,30,16,36,15,32,17,32,17,6N_sc
19,30,18,31,20,31,20,27,20,32,19,27,21,29,18,29,29,15,40,14,47,20,16,15,27,39,16,16,45,24,16,14,21,38,18,21,24,18,39,17,28,22,23,25,6N_sc
4,71,18,2,4,3,4,87,4,3,4,87,20,4,31,43,17,5,51,24,28,4,44,21,25,4,36,33,20,7,41,30,30,4,37,26,32,4,42,20,22,4,48,24,RRBS
42,2,38,17,38,1,40,19,34,0,40,23,34,0,42,22,34,1,42,21,33,1,43,20,33,1,44,20,32,1,46,20,31,1,46,20,31,0,46,20,31,0,47,19,Swift
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
25,20,27,25,28,20,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,54,18,UMI_RRBS
24,31,17,26,26,33,20,19,23,36,19,20,25,32,17,23,29,16,43,10,52,20,16,10,29,43,16,10,51,23,14,10,24,43,16,16,24,18,45,11,29,27,24,18,9N_sc
16,0,32,51,33,0,28,38,30,0,39,30,30,0,38,30,29,0,37,32,27,0,49,22,18,0,38,42,41,0,37,21,29,0,37,33,28,0,39,31,15,1,57,25,Amplicon
4,73,18,2,4,3,4,87,4,3,4,87,20,4,30,43,18,5,50,24,28,4,43,22,24,4,37,33,20,6,41,30,31,4,37,26,32,4,41,20,22,4,48,24,RRBS
26,30,19,23,28,31,21,18,27,33,20,19,29,31,18,20,37,17,34,10,48,20,21,10,36,31,21,10,47,22,19,10,32,31,22,13,32,19,37,10,35,23,27,14,9N_sc
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,4,53,18,UMI_RRBS
3,72,22,2,3,2,3,90,3,2,3,90,20,4,30,44,17,4,52,25,26,3,45,23,23,3,38,33,19,6,41,31,27,3,39,28,30,3,43,22,21,3,48,25,RRBS
25,20,27,26,27,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,97,1,0,96,1,22,1,55,20,23,3,54,18,UMI_RRBS
25,31,18,25,27,32,21,19,25,34,19,19,26,32,18,22,32,16,40,10,50,20,17,10,31,39,17,11,49,24,16,10,26,39,18,15,26,18,42,11,31,25,25,17,9N_sc
14,0,41,43,30,0,39,29,25,0,43,31,12,0,57,30,31,0,38,30,21,0,51,27,31,0,34,33,43,0,35,20,27,0,42,29,34,0,54,11,22,0,57,19,Amplicon
17,0,38,44,31,0,29,39,22,0,38,38,24,0,42,32,26,0,40,32,26,0,51,22,22,0,42,35,43,0,37,19,30,0,37,31,22,0,55,21,21,1,59,17,Amplicon
25,30,23,21,27,31,23,17,25,32,23,18,29,28,20,21,40,17,31,10,47,18,23,11,39,26,22,11,45,20,22,10,36,26,23,12,35,18,34,11,36,20,28,13,scNOME
16,0,35,48,32,0,29,38,26,0,37,35,28,0,37,33,27,0,38,33,27,0,50,22,21,0,37,40,40,0,38,21,29,0,35,34,28,0,45,25,16,0,56,26,Amplicon
40,24,26,8,41,22,29,5,45,24,26,4,45,21,28,4,40,30,25,3,34,33,28,3,51,20,25,2,51,18,26,2,50,18,27,2,46,21,29,2,46,20,30,2,9N_PBAT
24,31,18,26,26,32,20,20,24,34,20,20,25,32,17,24,30,17,40,11,50,21,16,11,29,41,16,11,48,24,14,11,24,41,17,16,24,19,42,12,29,26,24,19,9N_sc
25,20,27,26,28,20,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,3,56,17,UMI_RRBS
25,20,28,25,28,19,26,25,29,20,24,25,34,17,21,26,31,18,21,29,1,95,1,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
25,6,35,32,39,4,34,21,26,4,48,21,26,16,34,22,39,3,35,21,26,3,36,33,39,3,35,21,26,3,35,34,26,16,36,21,26,15,36,21,26,3,36,33,NOMEseq
26,30,23,20,28,31,23,16,27,33,22,17,30,29,20,19,42,17,29,9,47,19,23,9,42,24,23,9,45,21,23,9,39,24,24,10,38,19,32,9,38,21,29,10,scNOME
21,27,14,37,25,28,15,30,19,31,13,36,15,31,11,41,32,14,39,13,43,22,16,16,25,39,15,19,39,27,15,17,18,38,22,20,25,17,41,15,24,24,26,23,scNOME
40,24,27,7,42,22,29,5,44,24,26,4,45,21,28,4,41,29,25,3,34,32,28,4,51,19,25,3,51,18,26,3,50,18,27,3,46,20,29,3,46,20,30,2,9N_PBAT
2,73,20,1,2,1,2,92,2,1,2,92,20,3,28,47,16,3,55,24,27,3,46,23,22,2,39,35,19,5,43,31,28,2,40,27,30,2,45,21,20,2,52,24,RRBS
25,20,27,26,28,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,4,53,18,UMI_RRBS
40,24,26,8,42,22,29,5,44,24,26,4,45,21,28,4,41,30,24,3,34,33,27,3,52,19,25,3,52,18,25,3,51,19,26,2,47,21,28,2,46,20,29,2,9N_PBAT
27,5,37,29,38,3,36,20,28,3,46,20,28,13,37,21,38,3,37,20,28,3,38,30,38,3,37,20,28,2,37,30,28,12,38,20,28,12,39,20,28,2,38,30,NOMEseq
2,78,18,1,2,1,1,94,1,1,1,95,18,2,33,44,16,3,54,25,28,3,46,22,25,2,37,34,19,6,42,32,30,2,38,28,32,2,44,20,22,2,49,25,RRBS
16,0,40,43,29,0,38,31,23,0,44,31,11,0,58,30,28,0,39,32,22,0,49,27,28,0,37,33,43,0,35,21,26,0,41,31,28,0,59,12,21,1,55,22,Amplicon
2,0,17,79,88,0,5,5,3,0,55,41,51,0,32,16,15,0,79,5,4,0,19,76,3,0,18,77,29,0,18,51,4,0,25,69,6,0,43,49,8,0,75,14,Amplicon
16,35,17,30,17,31,23,27,20,35,18,25,18,33,18,29,25,14,46,13,48,25,10,15,22,46,11,19,47,29,10,12,14,46,16,22,16,17,48,17,24,26,22,26,6N_sc
22,26,14,37,25,29,15,29,22,30,13,34,20,29,11,38,36,15,33,14,42,17,24,15,34,25,24,16,40,20,23,15,30,25,26,17,31,17,37,14,32,19,30,17,scNOME
20,29,19,30,22,30,20,27,21,33,19,26,23,28,19,28,32,15,36,15,45,19,19,15,31,32,20,16,43,22,19,14,26,32,21,19,27,17,37,17,30,20,26,22,6N_sc
26,6,33,34,41,4,32,21,27,4,46,21,27,17,32,22,41,3,33,21,27,4,33,34,41,3,33,21,27,3,32,35,27,16,33,22,27,16,33,21,27,3,33,35,NOMEseq
23,26,13,36,26,29,15,29,22,31,13,33,19,30,11,38,36,15,34,13,43,19,23,14,34,27,22,15,40,21,22,15,29,27,25,16,30,17,38,13,31,20,30,17,scNOME
16,0,33,50,30,0,35,34,20,0,39,40,20,0,51,28,31,0,41,27,19,0,51,29,24,0,32,43,39,0,34,26,22,0,40,37,29,0,48,21,21,1,45,31,Amplicon
20,27,20,31,22,28,19,29,22,29,20,28,24,26,19,29,34,16,32,16,39,18,26,16,34,23,25,17,38,20,25,16,31,23,27,17,30,17,35,16,30,18,31,18,6N_sc
17,33,18,30,18,31,23,25,21,33,18,25,19,32,18,28,26,15,45,13,49,25,11,14,23,46,12,17,46,29,10,13,14,46,16,22,17,17,48,15,25,26,22,26,6N_sc
27,28,18,24,30,30,18,19,27,32,21,18,30,30,18,20,41,18,28,11,45,19,23,11,38,27,23,11,44,22,21,11,36,26,23,12,36,21,30,11,37,22,26,13,9N_sc
25,31,18,24,27,32,20,19,25,34,19,19,27,31,18,22,33,17,38,10,50,20,18,10,32,37,18,10,48,23,16,10,27,38,18,15,27,19,41,11,31,25,25,17,9N_sc
26,29,23,19,28,31,23,16,27,32,22,17,31,29,20,18,43,17,29,9,47,18,24,8,42,23,24,9,45,20,24,9,40,23,25,10,38,19,32,8,39,21,29,10,scNOME
15,0,30,54,35,0,23,40,35,0,31,32,33,0,34,31,29,0,37,32,27,0,48,24,20,0,38,41,42,0,37,19,32,0,33,34,27,0,39,32,9,1,63,25,Amplicon
30,6,40,22,31,4,39,24,31,4,40,23,31,4,39,25,31,3,41,23,30,4,41,23,31,3,40,24,31,3,40,24,31,3,40,24,30,3,41,23,30,3,42,23,NOMEseq
2,73,21,1,2,1,2,92,2,2,2,92,19,3,28,48,16,3,54,25,27,3,46,22,23,3,38,35,18,6,42,32,29,3,39,27,31,3,44,21,20,3,51,24,RRBS
38,10,31,18,29,5,31,33,27,3,30,38,27,3,31,37,29,2,42,24,33,1,39,26,32,1,37,27,33,1,37,28,31,1,38,28,27,1,44,26,27,1,43,26,Truseq
13,0,34,51,36,0,30,32,28,0,37,34,32,0,34,33,32,0,37,29,27,0,50,21,19,0,39,41,42,0,35,21,30,0,35,33,31,0,43,25,15,1,60,22,Amplicon
26,30,19,22,29,31,20,18,27,33,20,18,29,31,18,20,38,17,33,10,47,19,21,10,36,30,22,10,47,22,20,10,33,30,22,13,33,18,36,10,35,22,27,14,9N_sc
15,0,37,46,31,0,38,30,31,0,42,26,13,0,56,30,28,0,37,34,19,0,50,29,30,0,33,35,39,0,37,22,24,0,47,27,49,0,43,7,21,0,61,16,Amplicon
25,20,27,25,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,2,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,18,22,3,56,17,UMI_RRBS
33,6,42,16,33,3,39,23,33,3,38,23,32,3,40,23,31,3,43,21,30,3,43,22,31,3,41,22,31,3,41,22,32,3,41,22,31,3,42,22,31,3,42,22,NOMEseq
22,30,18,27,24,32,21,21,21,35,20,22,22,33,17,26,27,15,46,10,53,20,14,11,26,47,14,11,51,24,12,11,19,47,14,18,22,18,44,14,29,24,20,24,9N_sc
41,24,26,7,42,22,28,5,45,25,25,4,46,21,27,4,41,30,24,3,34,33,27,3,52,19,24,2,52,19,25,2,50,19,26,2,47,21,28,2,46,21,29,2,9N_PBAT
25,29,23,20,27,31,23,17,26,32,22,17,29,29,20,20,41,17,30,10,46,19,24,10,41,24,23,10,45,20,23,10,38,24,25,11,36,19,33,10,37,21,29,11,scNOME
13,0,32,53,35,0,26,37,32,0,35,32,36,0,30,32,32,0,35,31,26,0,51,21,18,0,41,39,40,0,36,22,32,0,34,33,23,0,40,36,13,0,63,22,Amplicon
21,28,13,36,26,29,15,29,20,33,12,33,16,31,10,40,34,16,37,12,44,22,16,15,28,37,16,16,39,28,15,16,22,36,22,18,27,18,40,13,25,26,26,20,scNOME
32,1,47,16,34,0,44,20,33,0,45,20,32,0,46,20,32,0,46,20,32,0,46,19,32,0,46,20,32,0,46,19,32,0,46,19,32,0,47,19,31,0,47,19,WGBS
0,54,43,1,0,0,0,97,0,0,1,97,29,1,20,48,16,1,54,27,24,1,47,25,18,0,39,40,17,2,43,36,26,0,42,29,27,0,45,25,19,0,52,26,RRBS
0,47,49,2,0,0,1,97,0,0,2,96,34,1,23,40,19,2,47,29,22,1,44,31,20,0,45,32,19,2,44,32,19,1,46,32,21,2,46,28,22,4,41,30,RRBS
9,47,33,8,10,7,9,72,9,7,9,71,21,8,30,38,19,8,45,25,26,8,40,24,22,8,35,33,19,9,39,30,28,7,36,26,28,8,39,23,22,7,43,25,RRBS
39,1,40,19,37,0,40,20,35,0,43,20,35,0,43,20,35,0,43,19,35,0,43,19,35,0,43,19,35,0,43,19,35,0,43,19,35,0,44,19,34,0,44,20,WGBS
22,31,18,27,23,32,21,22,21,35,19,23,22,32,18,27,25,15,46,12,52,20,12,13,24,48,13,13,50,24,11,13,17,48,13,20,20,17,46,15,26,27,21,24,9N_sc
20,30,19,29,22,29,21,26,23,31,19,25,23,29,19,26,32,15,36,14,44,21,19,14,30,32,20,16,42,23,19,13,25,32,22,19,27,17,39,15,30,21,26,21,6N_sc
5,69,20,3,5,3,5,85,5,4,5,85,21,5,31,41,19,5,49,24,29,5,42,22,25,4,37,32,21,6,41,29,30,4,37,26,31,4,40,21,22,4,46,24,RRBS
0,0,0,0,0,0,6,92,1,0,3,94,0,0,0,0,17,1,53,26,24,1,46,26,18,1,40,39,18,1,45,33,25,1,43,29,26,0,47,24,19,0,52,25,RRBS
3,76,18,2,3,2,3,90,3,2,3,91,20,3,32,43,17,4,51,26,29,3,44,22,25,3,37,33,20,6,41,31,31,3,38,27,33,3,42,20,22,3,48,25,RRBS
25,20,27,25,28,20,25,26,29,20,24,25,33,18,22,26,30,17,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,19,23,4,54,18,UMI_RRBS
17,0,38,44,33,0,35,31,35,0,42,21,11,0,56,32,32,0,34,33,20,0,53,26,33,0,31,35,38,0,36,24,26,0,48,25,40,0,51,8,18,0,66,14,Amplicon
25,21,27,25,28,20,25,26,29,20,24,25,34,18,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,54,18,UMI_RRBS
2,73,20,2,3,2,2,91,2,2,2,91,20,3,29,46,17,4,53,25,28,3,44,23,23,3,38,34,20,5,43,30,29,3,39,27,31,3,43,21,21,3,49,24,RRBS
26,31,18,23,29,31,20,18,26,34,20,18,29,30,18,21,36,17,35,10,49,20,20,10,35,34,20,10,48,23,18,10,31,34,20,13,31,19,37,10,34,24,25,15,9N_sc
37,1,44,16,38,0,41,19,37,0,41,19,35,0,43,20,36,0,42,19,36,0,43,19,36,0,42,19,36,0,42,19,36,0,42,19,36,0,43,19,35,0,43,19,WGBS
16,0,31,52,33,0,28,38,31,0,37,30,32,0,35,31,29,0,36,33,27,0,50,22,19,0,38,42,39,0,38,22,29,0,35,34,25,0,44,29,20,1,52,26,Amplicon
16,0,35,48,35,0,25,39,30,0,32,36,27,0,36,35,28,0,38,33,28,0,47,23,21,0,37,40,41,0,39,19,31,0,36,31,27,0,44,27,17,1,55,25,Amplicon
0,79,19,0,0,0,0,98,0,0,0,98,19,1,35,43,16,2,54,26,26,1,47,23,25,1,39,33,18,5,42,33,28,1,40,29,30,1,45,22,22,1,49,27,RRBS
20,29,19,30,21,30,20,27,20,32,19,27,22,29,19,28,29,15,39,15,45,20,17,16,28,36,18,16,44,23,17,14,22,36,19,21,25,18,39,17,29,22,24,24,6N_sc
25,21,27,25,28,20,25,26,29,20,24,25,34,18,21,25,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,3,55,17,UMI_RRBS
